content,intent,Intent_number
hi,Greetings,0
testing the message...plz ingnore,ignore,131
hi,Greetings,0
"Hi For any CNN model to be Oed as LeNet model , it should have same number of layers and exact same size/number of filter ? Then only we will O it LeNet model ? Is it ? ",cnn_question,132
Let suppose my CNN model is having same conv layer n max pool layer but instead of having 6 filters of 5*5 it is having 6 filter of 3*3 . So is this model can be consider as LeNet or not ?,cnn_question,132
<partlist type=started alt=><part identity=live:tanveer_ashfaque><name>live:tanveer_ashfaque</name></part></partlist>,O,4
<partlist type=started alt= OId=25415238-f5ec-48df-878e-0b698d5548d4><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineueon ai</name></part></partlist>,O,4
<partlist type=ended alt= OId=25415238-f5ec-48df-878e-0b698d5548d4><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name><duration>2243.897</duration></part><part identity=live:.cid.4933a22bf564744><name>support_ineueon ai</name><duration>2243.897</duration></part></partlist>,O,4
<partlist type=missed alt= OId=b85a16d5-1bb6-47da-addc-ac55598b9cb2><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineueon ai</name></part></partlist>,O,4
<partlist type=started alt= OId=23b76d8e-742b-4046-9b84-81b1f367bcb7><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron ai</name></part></partlist>,O,4
<partlist type=started alt= OId=01d34d56-9aa7-4abd-b313-26f9b328405d><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron ai</name></part></partlist>,O,4
<partlist type=missed alt= OId=ad27ea4f-43ae-4019-a0f6-28df004d37b1><part identity=live:.cid.fe63248b85b39c2f><name>Vikash Singh</name></part><part identity=live:.cid.4933a22bf564744><name>support_ineuron ai</name></part></partlist>,O,4
